femea		data		amostra	P4	E2	Estagio.I	Estagio.II	Estagio.III	 Estagio.IV oviduto
Bax0601-01	2010/3/1	 	6	0.41	2.58	12	8	0	0	  0
Bax0601-01	2010/4/13	7	0.54	1.25	16	14	0	0	NA
Bax0601-01	2010/5/18	15	0.36	55.65	26	10	0	0	NA
Bax0601-01	2010/6/16	19	0.33	24.35	20	16	5	0	NA
Bax0601-01	2010/8/13	29	0.24	1.44	12	2	12	0	NA
Bax0601-01	2010/9/16	33	1.02	1.85	17	0	10	0	NA
Bax0601-01	2010/10/14	38	1.4	4.78	20	3	13	0	NA
Bax0601-01	2010/12/15	45	0.57	6.72	12	10	4	0	NA
Bax0601-01	2011/1/6		50	0.87	12.99	31	12	6	0	NA
Bax0601-01	2011/2/24	57	0.48	3.56	48	0	0	0	NA
Bax0601-01	2011/4/26	62	0.15	12.47	33	0	0	0	NA
Bax0601-01	2011/6/29	68	0.56	122.78	14	15	0	0	NA
Bax0601-01	2011/8/24	NA	NA	NA	15	0	17	0	NA
Bax0601-01	2011/11/1	79	1.74	9.95	NA	NA	NA	NA	NA
Bax0601-01	2011/11/17	NA	NA	NA	NA	NA	NA	NA	NA
Bax0601-06	2010/3/1		1	0.29	4.58	12	0	0	0	NA
Bax0601-06	2010/4/13	9	0.56	66.56	9	9	0	0	NA
Bax0601-06	2010/5/18	13	0.63	9.36	29	9	13	0	NA
Bax0601-06	2010/6/16	21	0.45	8.11	15	0	15	0	NA
Bax0601-06	2010/8/13	26	10.25	192.9	16	1	10	6	NA
Bax0601-06	2010/9/16	31	2.01	161.24	3	6	1	0	14
Bax0601-06	2010/10/14	37	8.05	425.28	1	5	14	0	21
Bax0601-06	2010/12/15	43	13.05	241.12	NA	NA	NA	0	15
Bax0601-06	2011/1/6		48	1.19	189.89	19	7	3	7	NA
Bax0601-06	2011/2/24	55	0.68	6.88	29	2	1	0	NA
Bax0601-06	2011/4/26	61	0.26	10.22	31	0	0	0	NA
Bax0601-06	2011/6/29	71	0.29	74.59	34	10	0	0	NA
Bax0601-06	2011/8/24	72	0.59	86.46	18	0	21	0	NA
Bax0601-06	2011/11/1	81	1.9	2.88	NA	NA	NA	NA	NA
Bax0601-06	2011/11/17	NA	NA	NA	NA	NA	NA	NA	NA
Bax0601-09	2010/3/1		2	0.36	6.55	9	8	0	0	NA
Bax0601-09	2010/4/13	11	0.72	12.45	10	0	0	0	NA
Bax0601-09	2010/5/18	18	0.34	22.89	33	20	0	0	NA
Bax0601-09	2010/6/16	22	0.77	0	20	17	5	0	NA
Bax0601-09	2010/8/13	NA	NA	NA	20	1	12	4	NA
Bax0601-09	2010/9/16	35	1.54	12.13	19	0	18	1	NA
Bax0601-09	2010/10/14	40	1.7	11.61	5	16	11	0	NA
Bax0601-09	2010/12/15	46	0.33	2.14	29	15	0	0	NA
Bax0601-09	2011/1/6		52	0.77	4.89	43	0	0	0	NA
Bax0601-09	2011/2/24	59	0.55	2.55	62	0	0	0	NA
Bax0601-09	2011/4/26	63	1.14	19.6	40	0	0	0	NA
Bax0601-09	2011/6/29	69	0.89	1142.3	4	4	17	1	NA
Bax0601-09	2011/8/24	73	1.76	12.64	10	0	0	NA	25ovos
Bax0601-09	2011/11/1	82	30.82	186.99	NA	NA	NA	NA	NA
Bax0601-09	2011/11/17	NA	NA	NA	NA	NA	NA	NA	NA
Bax0601-10	2010/3/1		3	0.63	3.22	10	0	0	0	NA
Bax0601-10	2010/4/13	8	0.55	1.22	10	12	0	0	NA
Bax0601-10	2010/5/18	14	0.29	12.45	32	6	0	0	NA
Bax0601-10	2010/6/16	20	49	204.27	22	14	6	0	NA
Bax0601-10	2010/8/13	27	1.42	23.06	6	0	13	3	NA
Bax0601-10	2010/9/16	32	0.63	1.25	6	1	0	11	NA
Bax0601-10	2010/10/14	39	0.51	5.69	6	1	1	10	NA
Bax0601-10	2010/12/15	44	1.56	2.22	10	4	10	0	NA
Bax0601-10	2011/1/6		53	2.2	10.45	43	1	7	2	NA
Bax0601-10	2011/2/24	58	0.81	5.18	16	17	3	0	NA
Bax0601-10	2011/4/26	60	1.78	35.01	3	0	14	2	NA
Bax0601-10	2011/6/29	67	2.04	299.89	4	0	4	9	NA
Bax0601-10	2011/8/24	74	11.86	105.99	NA	NA	NA	NA	"17 ovos, 8 fecund."
Bax0601-10	2011/11/1	80	2.92	8.96	NA	NA	NA	NA	NA
Bax0601-10	2011/11/17	NA	NA	NA	NA	NA	NA	NA	NA
Bax0601-12	2010/3/1		4	0.1	6.71	9	9	0	0	NA
Bax0601-12	2010/4/13	10	0.82	31.62	7	9	0	0	NA
Bax0601-12	2010/5/18	17	0.72	312.14	14	13	6	0	NA
Bax0601-12	2010/6/16	24	2.07	12.13	12	5	8	1	NA
Bax0601-12	2010/8/13	28	0.64	2.45	1	1	0	17	NA
Bax0601-12	2010/9/16	30	11.112	4.66	NA	NA	NA	0	18
Bax0601-12	2010/10/14	36	15.45	100.25	NA	NA	NA	0	25
Bax0601-12	2010/12/15	42	6.01	6.72	NA	NA	NA	0	11
Bax0601-12	2011/1/6		49	0.37	12.47	44	0	0	0	NA
Bax0601-12	2011/2/24	56	0.32	4.99	42	0	0	0	NA
Bax0601-12	2011/4/26	65	0.32	0	27	0	0	0	NA
Bax0601-12	2011/6/29	66	0.84	44.96	13	17	0	0	NA
Bax0601-12	2011/8/24	75	0.44	312.14	6	0	20	0	NA
Bax0601-12	2011/11/1	78	3.85	2.55	NA	NA	NA	NA	NA
Bax0601-12	2011/11/17	83	15.69	95.88	NA	NA	NA	NA	NA
Bax0601-20	2010/3/1		5	0.34	5.95	10	0	0	0	NA
Bax0601-20	2010/4/13	12	0.81	13.88	10	11	0	0	NA
Bax0601-20	2010/5/18	16	1.1	1222.4	21	15	13	0	NA
Bax0601-20	2010/6/16	23	0.52	16	15	1	16	0	NA
Bax0601-20	2010/8/13	25	0.62	19.22	7	1	16	1	NA
Bax0601-20	2010/9/16	34	1.25	8.79	13	1	9	1	NA
Bax0601-20	2010/10/14	41	0.45	12.44	31	2	18	0	NA 
Bax0601-20	2010/12/15	47	8.05	400.28	42	20	0	0	NA
Bax0601-20	2011/1/6		51	0.5	2.22	43	0	0	0	NA
Bax0601-20	2011/2/24	54	0.2	7.89	57	0	0	0	NA
Bax0601-20	2011/4/26	64	0.42	10.78	53	0	0	0	NA
Bax0601-20	2011/6/29	70	0.44	275.23	10	11	13	0	NA
Bax0601-20	2011/8/24	76	0.5	235.78	9	0	26	6	NA
Bax0601-20	2011/11/1	77	15.57	88.23	NA	NA	NA	NA	NA
Bax0601-20	2011/11/17	NA	NA	NA	NA	NA	NA	NA	NA
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
